ARO Term	ARO Accession	Reference Model Type	Reference DB	Alleles with Mapped Reads	Reference Allele(s) Identity to CARD Reference Protein (%)	Resistomes & Variants: Observed in Genome(s)	Resistomes & Variants: Observed in Plasmid(s)	Resistomes & Variants: Observed Pathogen(s)	Completely Mapped Reads	Mapped Reads with Flanking Sequence	All Mapped Reads	Average Percent Coverage	Average Length Coverage (bp)	Average MAPQ (Completely Mapped Reads)	Number of Mapped Baits	Number of Mapped Baits with Reads	Average Number of reads per Bait	Number of reads per Bait Coefficient of Variation (%)	Number of reads mapping to baits and mapping to complete gene	Number of reads mapping to baits and mapping to complete gene (%)	Mate Pair Linkage (# reads)	Reference Length	AMR Gene Family	Drug Class	Resistance Mechanism
CblA-1	3002999	protein homolog model	CARD	1	100.0	no data	no data	mixed culture	3.00	1.00	4.00	46.02	410.00	32.25	0	0	0	0	N/A	N/A		891	CblA beta-lactamase	cephalosporin	antibiotic inactivation
dfrF	3002867	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus faecalis	5.00	5.00	10.00	77.78	385.00	17.60	0	0	0	0	N/A	N/A		495	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
CARB-5	3002244	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter calcoaceticus	1.00	0.00	1.00	16.83	151.00	1.00	0	0	0	0	N/A	N/A	CARB-54 (1)	897	CARB beta-lactamase	penam	antibiotic inactivation
TEM-59	3000928	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella oxytoca	1.00	1.00	2.00	6.98	58.00	0.00	0	0	0	0	N/A	N/A		831	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
VEB-3	3002372	protein homolog model	CARD	1	100.0	no data	no data	Enterobacter cloacae	21.00	2.00	23.00	94.22	848.00	3.00	0	0	0	0	N/A	N/A	VEB-19 (1); ANT(2'')-Ia (1); VEB-14 (1); VEB-2 (1)	900	VEB beta-lactamase	monobactam; cephalosporin	antibiotic inactivation
lnuA	3002835	protein homolog model	CARD	1	100.0	no data	no data	Staphylococcus haemolyticus	1.00	1.00	2.00	15.43	75.00	12.00	0	0	0	0	N/A	N/A		486	lincosamide nucleotidyltransferase (LNU)	lincosamide antibiotic	antibiotic inactivation
OXA-226	3001800	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	9.00	3.00	12.00	69.32	574.00	0.75	0	0	0	0	N/A	N/A	aadA17 (1); AAC(6')-Ib7 (1); qacL (1)	828	OXA beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
DHA-15	3002146	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	3.00	0.00	3.00	19.30	220.00	0.67	0	0	0	0	N/A	N/A	DHA-6 (1)	1140	DHA beta-lactamase	cephalosporin; cephamycin	antibiotic inactivation
msrE	3003109	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	1028.00	133.00	1161.00	100.00	1476.00	37.80	0	0	0	0	N/A	N/A	mel (1); mphE (1)	1476	msr-type ABC-F protein	macrolide antibiotic; streptogramin antibiotic	antibiotic target protection
FosA2	3002804	protein homolog model	CARD	1	100.0	no data	no data	Enterobacter cloacae	13.00	13.00	26.00	100.00	426.00	16.08	0	0	0	0	N/A	N/A		426	fosfomycin thiol transferase	fosfomycin	antibiotic inactivation
