ARO Term	ARO Accession	Reference Model Type	Reference DB	Alleles with Mapped Reads	Reference Allele(s) Identity to CARD Reference Protein (%)	Resistomes & Variants: Observed in Genome(s)	Resistomes & Variants: Observed in Plasmid(s)	Resistomes & Variants: Observed Pathogen(s)	Completely Mapped Reads	Mapped Reads with Flanking Sequence	All Mapped Reads	Average Percent Coverage	Average Length Coverage (bp)	Average MAPQ (Completely Mapped Reads)	Number of Mapped Baits	Number of Mapped Baits with Reads	Average Number of reads per Bait	Number of reads per Bait Coefficient of Variation (%)	Number of reads mapping to baits and mapping to complete gene	Number of reads mapping to baits and mapping to complete gene (%)	Mate Pair Linkage (# reads)	Reference Length	AMR Gene Family	Drug Class	Resistance Mechanism
dfrF	3002867	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus faecalis	8.00	6.00	14.00	100.00	495.00	21.29	0	0	0	0	N/A	N/A		495	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
CMY-1	3002012	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	2.00	1.00	3.00	3.48	40.00	0.00	0	0	0	0	N/A	N/A	MOX-9 (1)	1149	CMY beta-lactamase	cephamycin	antibiotic inactivation
VEB-3	3002372	protein homolog model	CARD	1	100.0	no data	no data	Enterobacter cloacae	8.00	1.00	9.00	74.11	667.00	3.11	0	0	0	0	N/A	N/A	VEB-9 (1); cmlA6 (1); ANT(2'')-Ia (1)	900	VEB beta-lactamase	monobactam; cephalosporin	antibiotic inactivation
OXA-226	3001800	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	16.00	1.00	17.00	81.52	675.00	0.88	0	0	0	0	N/A	N/A	OXA-161 (1); OXA-838 (1); qacL (1); OXA-141 (1); AAC(6')-Ib7 (1); OXA-210 (1); ANT(3'')-Ii-AAC(6')-IId_fusion_protein (1)	828	OXA beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
msrE	3003109	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	742.00	88.00	830.00	100.00	1476.00	38.25	0	0	0	0	N/A	N/A	AAC(6')-Ib7 (1); mphE (1)	1476	msr-type ABC-F protein	macrolide antibiotic; streptogramin antibiotic	antibiotic target protection
FosA2	3002804	protein homolog model	CARD	1	100.0	no data	no data	Enterobacter cloacae	7.00	5.00	12.00	84.51	360.00	19.00	0	0	0	0	N/A	N/A		426	fosfomycin thiol transferase	fosfomycin	antibiotic inactivation
mdtP	3003550	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	32.00	5.00	37.00	94.21	1382.00	37.51	0	0	0	0	N/A	N/A	mdtO (1)	1467	major facilitator superfamily (MFS) antibiotic efflux pump	nucleoside antibiotic; disinfecting agents and antiseptics	antibiotic efflux
OXA-60	3001808	protein homolog model	CARD	1	100.0	no data	no data	Ralstonia pickettii	1.00	1.00	2.00	4.53	37.00	11.00	0	0	0	0	N/A	N/A		816	OXA beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
AAC(3)-IIIc	3002538	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	5.00	3.00	8.00	40.36	339.00	7.12	0	0	0	0	N/A	N/A		840	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
MOX-5	3002188	protein homolog model	CARD	1	100.0	no data	no data	Aeromonas caviae	1.00	1.00	2.00	3.21	37.00	11.00	0	0	0	0	N/A	N/A		1152	MOX beta-lactamase	cephalosporin; cephamycin; penam	antibiotic inactivation
OXA-256	3001502	protein homolog model	CARD	1	100.0	no data	no data	Enterobacter cloacae	52.00	14.00	66.00	92.76	743.00	0.73	0	0	0	0	N/A	N/A	cmlA5 (1); AAC(6')-Ib7 (1); OXA-795 (1); OXA-233 (1); OXA-928 (1); OXA-142 (1); OXA-14 (1); OXA-251 (1); OXA-655 (1); aadA6/aadA10 (1); OXA-823 (1); ANT(3'')-IIa (1); aadA22 (1)	801	OXA beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
QnrS6	3002795	protein homolog model	CARD	1	100.0	no data	no data	Aeromonas hydrophila	40.00	21.00	61.00	95.89	630.00	0.51	0	0	0	0	N/A	N/A	QnrS2 (1)	657	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
AAC(6')-Ib	3002546	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	23.00	4.00	27.00	89.91	499.00	6.74	0	0	0	0	N/A	N/A	GES-15 (1); QnrVC4 (1); cmlA4 (1); AAC(6')-Ib9 (1); cmlA6 (1); AAC(6')-Ib-cr3 (1); cmlA1 (1); dfrA7 (1)	555	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
GES-21	3002350	protein homolog model	CARD	1	100.0	no data	no data	uncultured bacterium	14.00	3.00	17.00	78.01	674.00	0.82	0	0	0	0	N/A	N/A	GES-39 (1); GES-5 (1); GES-37 (1); aadA9 (1); GES-40 (1); GES-36 (1); dfrB5 (1)	864	GES beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
aadA23	3002620	protein homolog model	CARD	1	100.0	no data	no data	Salmonella enterica	53.00	17.00	70.00	93.08	726.00	0.74	0	0	0	0	N/A	N/A	aadA8 (1); ANT(3'')-IIa (1); OXA-823 (1); aadA6 (1); aadA25 (1); aadA15 (1); aadA (1); qacEdelta1 (1); EreA (1); OXA-251 (1); aadA13 (1)	780	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
OXA-35	3001429	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	5.00	2.00	7.00	66.42	532.00	0.71	0	0	0	0	N/A	N/A	aadA7 (1); OXA-736 (1); OXA-11 (1)	801	OXA beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
fusH	3003026	protein homolog model	CARD	1	100.0	no data	no data	Streptomyces lividans	3.00	1.00	4.00	19.61	300.00	26.50	0	0	0	0	N/A	N/A		1530	fusidic acid inactivation enzyme	fusidic acid	antibiotic inactivation
gadX	3000508	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	11.00	5.00	16.00	92.00	759.00	29.69	0	0	0	0	N/A	N/A		825	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; penam	antibiotic efflux
TLA-2	3003203	protein homolog model	CARD	1	100.0	no data	no data	uncultured bacterium	31.00	13.00	44.00	95.52	874.00	21.80	0	0	0	0	N/A	N/A		915	TLA beta-lactamase	fluoroquinolone antibiotic; monobactam; cephalosporin	antibiotic inactivation
