ARO Term	ARO Accession	Reference Model Type	Reference DB	Alleles with Mapped Reads	Reference Allele(s) Identity to CARD Reference Protein (%)	Resistomes & Variants: Observed in Genome(s)	Resistomes & Variants: Observed in Plasmid(s)	Resistomes & Variants: Observed Pathogen(s)	Completely Mapped Reads	Mapped Reads with Flanking Sequence	All Mapped Reads	Average Percent Coverage	Average Length Coverage (bp)	Average MAPQ (Completely Mapped Reads)	Number of Mapped Baits	Number of Mapped Baits with Reads	Average Number of reads per Bait	Number of reads per Bait Coefficient of Variation (%)	Number of reads mapping to baits and mapping to complete gene	Number of reads mapping to baits and mapping to complete gene (%)	Mate Pair Linkage (# reads)	Reference Length	AMR Gene Family	Drug Class	Resistance Mechanism
CblA-1	3002999	protein homolog model	CARD	1	100.0	no data	no data	mixed culture	32.00	4.00	36.00	100.00	891.00	38.11	0	0	0	0	N/A	N/A		891	CblA beta-lactamase	cephalosporin	antibiotic inactivation
dfrF	3002867	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus faecalis	28.00	8.00	36.00	100.00	495.00	32.89	0	0	0	0	N/A	N/A		495	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
CARB-5	3002244	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter calcoaceticus	2.00	1.00	3.00	33.67	302.00	0.67	0	0	0	0	N/A	N/A	CARB-50 (1)	897	CARB beta-lactamase	penam	antibiotic inactivation
TEM-126	3000988	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	2.00	2.00	4.00	21.72	187.00	0.25	0	0	0	0	N/A	N/A		861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
LRA-12	3002511	protein homolog model	CARD	1	100.0	no data	no data	uncultured bacterium	1.00	1.00	2.00	5.22	46.00	11.00	0	0	0	0	N/A	N/A		882	subclass B3 LRA beta-lactamase	cephalosporin; penam	antibiotic inactivation
OXA-212	3001711	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter johnsonii	4.00	0.00	4.00	65.45	540.00	1.00	0	0	0	0	N/A	N/A		825	OXA beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
CMY-1	3002012	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	11.00	3.00	14.00	68.84	791.00	4.86	0	0	0	0	N/A	N/A		1149	CMY beta-lactamase	cephamycin	antibiotic inactivation
VEB-3	3002372	protein homolog model	CARD	1	100.0	no data	no data	Enterobacter cloacae	62.00	8.00	70.00	100.00	900.00	2.70	0	0	0	0	N/A	N/A	AAC(6')-Ib7 (1); VEB-2 (1); VEB-24 (1); VEB-14 (1); VEB-20 (1); VEB-10 (1); VEB-27 (1); ANT(2'')-Ia (1); catB8 (1)	900	VEB beta-lactamase	monobactam; cephalosporin	antibiotic inactivation
lnuA	3002835	protein homolog model	CARD	1	100.0	no data	no data	Staphylococcus haemolyticus	3.00	1.00	4.00	71.81	349.00	33.00	0	0	0	0	N/A	N/A		486	lincosamide nucleotidyltransferase (LNU)	lincosamide antibiotic	antibiotic inactivation
OXA-226	3001800	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	8.00	3.00	11.00	77.90	645.00	0.64	0	0	0	0	N/A	N/A	ANT(3'')-IIa (1); OXA-543 (1); OXA-2 (1); OXA-21 (1); qacE (1)	828	OXA beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
