ARO Term	ARO Accession	Reference Model Type	Reference DB	Alleles with Mapped Reads	Reference Allele(s) Identity to CARD Reference Protein (%)	Resistomes & Variants: Observed in Genome(s)	Resistomes & Variants: Observed in Plasmid(s)	Resistomes & Variants: Observed Pathogen(s)	Completely Mapped Reads	Mapped Reads with Flanking Sequence	All Mapped Reads	Average Percent Coverage	Average Length Coverage (bp)	Average MAPQ (Completely Mapped Reads)	Number of Mapped Baits	Number of Mapped Baits with Reads	Average Number of reads per Bait	Number of reads per Bait Coefficient of Variation (%)	Number of reads mapping to baits and mapping to complete gene	Number of reads mapping to baits and mapping to complete gene (%)	Mate Pair Linkage (# reads)	Reference Length	AMR Gene Family	Drug Class	Resistance Mechanism
CblA-1	3002999	protein homolog model	CARD	1	100.0	no data	no data	mixed culture	2.00	0.00	2.00	33.89	302.00	44.00	0	0	0	0	N/A	N/A		891	CblA beta-lactamase	cephalosporin	antibiotic inactivation
dfrF	3002867	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus faecalis	3.00	3.00	6.00	35.56	176.00	22.00	0	0	0	0	N/A	N/A		495	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
VEB-3	3002372	protein homolog model	CARD	1	100.0	no data	no data	Enterobacter cloacae	1.00	0.00	1.00	16.00	144.00	1.00	0	0	0	0	N/A	N/A	ANT(2'')-Ia (1)	900	VEB beta-lactamase	monobactam; cephalosporin	antibiotic inactivation
OXA-226	3001800	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	10.00	1.00	11.00	87.56	725.00	0.91	0	0	0	0	N/A	N/A	OXA-15 (1)	828	OXA beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
msrE	3003109	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	212.00	23.00	235.00	100.00	1476.00	39.20	0	0	0	0	N/A	N/A	mphE (1)	1476	msr-type ABC-F protein	macrolide antibiotic; streptogramin antibiotic	antibiotic target protection
FosA2	3002804	protein homolog model	CARD	1	100.0	no data	no data	Enterobacter cloacae	1.00	1.00	2.00	35.45	151.00	20.50	0	0	0	0	N/A	N/A		426	fosfomycin thiol transferase	fosfomycin	antibiotic inactivation
mdtP	3003550	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	22.00	1.00	23.00	89.09	1307.00	40.87	0	0	0	0	N/A	N/A	mdtO (1)	1467	major facilitator superfamily (MFS) antibiotic efflux pump	nucleoside antibiotic; disinfecting agents and antiseptics	antibiotic efflux
OXA-256	3001502	protein homolog model	CARD	1	100.0	no data	no data	Enterobacter cloacae	3.00	3.00	6.00	30.09	241.00	0.17	0	0	0	0	N/A	N/A		801	OXA beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
AAC(6')-Ib	3002546	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	2.00	0.00	2.00	52.43	291.00	6.00	0	0	0	0	N/A	N/A	OXA-544 (1); cmlA5 (1)	555	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
aadA23	3002620	protein homolog model	CARD	1	100.0	no data	no data	Salmonella enterica	4.00	1.00	5.00	37.18	290.00	0.80	0	0	0	0	N/A	N/A	aadA (1); ANT(3'')-IIa (1)	780	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
